Mã hàng	ĐVT	Tên hàng
323 027DNY	Cái	Trilucath - 7 F - 20 cm 3lumen CVC Kit
324900	Cái	BD ULTRA-FINE™ INSULIN SYRINGE WITH STERILE INTERIOR
324901	Cái	BD ULTRA-FINE™ INSULIN SYRINGE WITH STERILE INTERIOR
324903	Cái	BD ULTRA-FINE™ INSULIN SYRINGE WITH STERILE INTERIOR
326674	Cái	BD Ultra- Fine Insulin Sringes 6MM (1mL)
326675	Cái	BD ULTRA-FINE™ INSULIN SYRINGES 6MM (0.25 mL)
326702	Cái	BD Ultra- Fine II Short Needle Insulin Syringe (100Ul/1.0ML, 30GX8MM)
326725	Cái	BD Ultra-Fine II Short Needles Insulin Syringe (100UI/0.5ML, 30GX8MM)
328818	Cái	BD Ultra-Fine II Short Needles Insulin Syringe (100UI/1.0ML, 30GX8MM, 10BAG)
328838	Cái	BD Ultra-Fine II Short Needles Insulin Syringe (100UI/0.3ML, 30GX8MM)
328868	Cái	BD Ultra-Fine II Short Needles Insulin Syringe (100UI/0.5ML, 30GX8MM)
331 208HDNY	Cái	Venoseld 18 G - 20 cm 1lumen CVC Kit
332 014SDNY	Cái	Doucath - 4 F - 10 cm
332 015S1DN	Cái	Doucath - 5 F - 13 cm
332 015S1DNY	Cái	Doucath - 5 F - 13 cm
332 017DN	Cái	Doucath - 7 F - 15 cm 2lumen CVC Kit
332 017DNY	Cái	Doucath - 7 F - 15 cm 2lumen CVC Kit
332 027DN	Cái	Doucath - 7 F - 20 cm 2lumen CVC Kit
332 027DNY	Cái	Doucath - 7 F - 20 cm 2lumen CVC Kit
332 084DN	Cái	Doucath - 4 F - 8 cm
332 084DNY	Cái	Doucath - 4 F - 8 cm 2lumen CVC Kit
33206007	Cái	Bảng điều khiển Fluidic máy Canto/Canto II
33206210	Cái	Bảng điều khiển đường dịch máy Canto II
332771	Lọ	CD3 (SK7) PerCP Cy (TM) 5.5
332773	Lọ	CD7 (M-T701) FITC
332774	Lọ	CD7 (M-T701) PE
332776	Lọ	CD10 PE HI10A CE
332777	Lọ	CD10 APC HI10A CE
332778	Lọ	CD15 FITC CE
332779	Lọ	CD16 PE CE
332784	Lọ	CD45 (2D1) PerCP- CyTM5.5
332786	Lọ	FMC-7 FITC CE
332789	Lọ	Anti-Tdt (E17-1519) FITC
332791	Lọ	Anti-Tdt (E17-1519) APC
33304507	Cái	Đầu nối loại nhỏ dùng để cắm phin lọc máy Canto II
33304607	Cái	Đầu nối loại to dùng để cắm phin lọc máy Canto II
33307207	Cái	Đầu nối phin lọc máy Canto II
333138	Lọ	Anti-MPO (5B8) FITC
333140	Lọ	Anti-TCR A/B FITC CE
333141	Lọ	Anti-TCR-1 Gamma/Delta PE CE
333143	Lọ	Cd11B (D12) APC CE
333144	Lọ	CD11c APC CE
333145	Lọ	CD22 APC CE
333147	Lọ	CD41a FITC HIP8 CE
333151	Lọ	CD71 FITC LO1.1 CE
333152	Lọ	CD79a PE CE
333155	Lọ	CD103 FITC CE
333167	Lọ	CD1a PE CE
333169	Lọ	CD57 FITC CE
333233	Lọ	CD117 APC CE
333951	Lọ	CD14 (MoP9) APC-Cy (TM) 7
334 028DNY	Cái	Quadrocath - 8,5 F - 20 cm
334044	Cái	Check Valve Waste
334224	Thùng	FACS Shutdown Solution
334914	Cái	Cảm biến bình Sheat máy Canto/Canto II
33566307	Cái	Bộ filter máy Canto/Canto II
335683	Cái	Pinhole Alignment Tool
335775	Test	FACS 7-Color Setup Beads 25 Test
335821	Lọ	CD2 PE-Cy7 CE
335824	Lọ	CD25 (2A3) PE-Cy(TM) 7
335826	Lọ	CD56 PE-Cy7
335830	Lọ	ANTI-HLA-DR PE-Cy7 CE
336403	Cái	Alignment Microscope Spacer
336488	Cái	Máy nén khí
336945	Cái	Quả lọc Buble
337166	Hộp	BD Multitest 6-Color TBNK Kit W/Trucount
337592	Cái	WIRE 005 DIAX7.3INL 316 VMSS
337898	Lọ	CD22 FITC CE
337899	Lọ	CD22 PE CE
338922	Bộ	Nắp cho buồng thải
